epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3571,1.39131,1.66291,1.35001,0.48036,0.37688,0.37912,0.21159,1.73875,2.56826,1.73427,0.000551489,0.000551489,0.000551489
2,47.8626,1.36443,1.04881,1.34576,0.85825,0.75551,0.85532,0.47832,1.50376,0.93833,1.50541,0.00103408,0.00103408,0.00103408
3,69.7409,1.31184,0.93429,1.31549,0.85199,0.76738,0.82337,0.47902,1.53613,1.01875,1.51564,0.00144333,0.00144333,0.00144333
4,91.1457,1.29203,0.9051,1.29696,0.67814,0.71491,0.67199,0.41056,1.44866,1.21908,1.43942,0.00133693,0.00133693,0.00133693
5,113.052,1.2533,0.83824,1.27891,0.90174,0.87773,0.93931,0.58207,1.3731,0.66816,1.38329,0.00122691,0.00122691,0.00122691
6,136.514,1.19578,0.75527,1.28215,0.93311,0.91822,0.95866,0.58728,1.36842,0.69845,1.37199,0.00111689,0.00111689,0.00111689
7,159.578,1.16581,0.71608,1.26726,0.92278,0.86815,0.95522,0.60058,1.33265,0.66025,1.38169,0.00100687,0.00100687,0.00100687
8,182.365,1.1327,0.68079,1.22585,0.96783,0.9201,0.96827,0.62604,1.30871,0.58357,1.32909,0.000896846,0.000896846,0.000896846
9,204.534,1.11167,0.66053,1.21682,0.98131,0.94911,0.98824,0.64863,1.29557,0.56711,1.29996,0.000786824,0.000786824,0.000786824
10,226.751,1.07054,0.63749,1.18953,0.98427,0.96304,0.98966,0.65919,1.24741,0.51151,1.25816,0.000676802,0.000676802,0.000676802
11,250.644,1.04879,0.62247,1.16758,0.99154,0.96177,0.9917,0.6661,1.25594,0.52372,1.28202,0.00056678,0.00056678,0.00056678
12,273.26,1.01888,0.60252,1.14911,0.97735,0.95974,0.98935,0.66477,1.22475,0.50199,1.2572,0.000456758,0.000456758,0.000456758
13,295.611,0.98696,0.59178,1.13565,0.98303,0.95469,0.98925,0.68602,1.21759,0.47614,1.24836,0.000346736,0.000346736,0.000346736
14,318.185,0.95614,0.57049,1.11839,0.98068,0.94832,0.99075,0.68811,1.21897,0.46678,1.25443,0.000236714,0.000236714,0.000236714
15,340.959,0.92625,0.55628,1.10271,0.96682,0.97423,0.99125,0.67566,1.21677,0.45823,1.25114,0.000126692,0.000126692,0.000126692
